Year,Region,value,Variable_French,Case,Unit
2005,Canada,120.3939447,Léger classique,Référence,Mille mètres cubes par jour
2006,Canada,119.3351015,Léger classique,Référence,Mille mètres cubes par jour
2007,Canada,128.4954072,Léger classique,Référence,Mille mètres cubes par jour
2008,Canada,126.621042,Léger classique,Référence,Mille mètres cubes par jour
2009,Canada,113.4217027,Léger classique,Référence,Mille mètres cubes par jour
2010,Canada,115.2757289,Léger classique,Référence,Mille mètres cubes par jour
2011,Canada,119.7834217,Léger classique,Référence,Mille mètres cubes par jour
2012,Canada,121.6098833,Léger classique,Référence,Mille mètres cubes par jour
2013,Canada,130.7790526,Léger classique,Référence,Mille mètres cubes par jour
2014,Canada,130.9087101,Léger classique,Référence,Mille mètres cubes par jour
2015,Canada,114.6754806,Léger classique,Référence,Mille mètres cubes par jour
2016,Canada,107.5690542,Léger classique,Référence,Mille mètres cubes par jour
2017,Canada,106.408596,Léger classique,Référence,Mille mètres cubes par jour
2018,Canada,102.8481434,Léger classique,Référence,Mille mètres cubes par jour
2019,Canada,102.6252528,Léger classique,Référence,Mille mètres cubes par jour
2020,Canada,95.1984327,Léger classique,Référence,Mille mètres cubes par jour
2021,Canada,95.02526415,Léger classique,Référence,Mille mètres cubes par jour
2022,Canada,94.3607341,Léger classique,Référence,Mille mètres cubes par jour
2023,Canada,98.34967177,Léger classique,Référence,Mille mètres cubes par jour
2024,Canada,99.11020012,Léger classique,Référence,Mille mètres cubes par jour
2025,Canada,100.3456419,Léger classique,Référence,Mille mètres cubes par jour
2026,Canada,100.5333428,Léger classique,Référence,Mille mètres cubes par jour
2027,Canada,101.1321578,Léger classique,Référence,Mille mètres cubes par jour
2028,Canada,103.8491184,Léger classique,Référence,Mille mètres cubes par jour
2029,Canada,107.752881,Léger classique,Référence,Mille mètres cubes par jour
2030,Canada,110.7142433,Léger classique,Référence,Mille mètres cubes par jour
2031,Canada,111.9037086,Léger classique,Référence,Mille mètres cubes par jour
2032,Canada,111.9301574,Léger classique,Référence,Mille mètres cubes par jour
2033,Canada,113.8906779,Léger classique,Référence,Mille mètres cubes par jour
2034,Canada,116.7046792,Léger classique,Référence,Mille mètres cubes par jour
2035,Canada,119.6711868,Léger classique,Référence,Mille mètres cubes par jour
2036,Canada,121.4728603,Léger classique,Référence,Mille mètres cubes par jour
2037,Canada,122.1273916,Léger classique,Référence,Mille mètres cubes par jour
2038,Canada,122.4506109,Léger classique,Référence,Mille mètres cubes par jour
2039,Canada,122.8258348,Léger classique,Référence,Mille mètres cubes par jour
2040,Canada,123.0787508,Léger classique,Référence,Mille mètres cubes par jour
2005,Canada,95.71437169,Lourd classique,Référence,Mille mètres cubes par jour
2006,Canada,94.53332481,Lourd classique,Référence,Mille mètres cubes par jour
2007,Canada,92.09394825,Lourd classique,Référence,Mille mètres cubes par jour
2008,Canada,87.98554133,Lourd classique,Référence,Mille mètres cubes par jour
2009,Canada,80.18415712,Lourd classique,Référence,Mille mètres cubes par jour
2010,Canada,79.54477566,Lourd classique,Référence,Mille mètres cubes par jour
2011,Canada,79.77054329,Lourd classique,Référence,Mille mètres cubes par jour
2012,Canada,86.93567494,Lourd classique,Référence,Mille mètres cubes par jour
2013,Canada,89.22507967,Lourd classique,Référence,Mille mètres cubes par jour
2014,Canada,98.75005485,Lourd classique,Référence,Mille mètres cubes par jour
2015,Canada,86.70910628,Lourd classique,Référence,Mille mètres cubes par jour
2016,Canada,81.28237847,Lourd classique,Référence,Mille mètres cubes par jour
2017,Canada,85.91987842,Lourd classique,Référence,Mille mètres cubes par jour
2018,Canada,96.29276906,Lourd classique,Référence,Mille mètres cubes par jour
2019,Canada,103.5358348,Lourd classique,Référence,Mille mètres cubes par jour
2020,Canada,111.1701192,Lourd classique,Référence,Mille mètres cubes par jour
2021,Canada,114.9930905,Lourd classique,Référence,Mille mètres cubes par jour
2022,Canada,117.3993431,Lourd classique,Référence,Mille mètres cubes par jour
2023,Canada,117.7555866,Lourd classique,Référence,Mille mètres cubes par jour
2024,Canada,119.330882,Lourd classique,Référence,Mille mètres cubes par jour
2025,Canada,119.8498568,Lourd classique,Référence,Mille mètres cubes par jour
2026,Canada,119.5821589,Lourd classique,Référence,Mille mètres cubes par jour
2027,Canada,119.6171563,Lourd classique,Référence,Mille mètres cubes par jour
2028,Canada,118.694029,Lourd classique,Référence,Mille mètres cubes par jour
2029,Canada,117.7889093,Lourd classique,Référence,Mille mètres cubes par jour
2030,Canada,117.2632809,Lourd classique,Référence,Mille mètres cubes par jour
2031,Canada,117.2319294,Lourd classique,Référence,Mille mètres cubes par jour
2032,Canada,117.6249557,Lourd classique,Référence,Mille mètres cubes par jour
2033,Canada,117.7080219,Lourd classique,Référence,Mille mètres cubes par jour
2034,Canada,118.0636572,Lourd classique,Référence,Mille mètres cubes par jour
2035,Canada,119.0009554,Lourd classique,Référence,Mille mètres cubes par jour
2036,Canada,120.0022977,Lourd classique,Référence,Mille mètres cubes par jour
2037,Canada,121.6536119,Lourd classique,Référence,Mille mètres cubes par jour
2038,Canada,122.8934175,Lourd classique,Référence,Mille mètres cubes par jour
2039,Canada,124.0823832,Lourd classique,Référence,Mille mètres cubes par jour
2040,Canada,125.315275,Lourd classique,Référence,Mille mètres cubes par jour
2005,Canada,19.07903094,C5+,Référence,Mille mètres cubes par jour
2006,Canada,19.69469227,C5+,Référence,Mille mètres cubes par jour
2007,Canada,19.78087757,C5+,Référence,Mille mètres cubes par jour
2008,Canada,18.96638768,C5+,Référence,Mille mètres cubes par jour
2009,Canada,17.45007437,C5+,Référence,Mille mètres cubes par jour
2010,Canada,16.45942987,C5+,Référence,Mille mètres cubes par jour
2011,Canada,15.363477,C5+,Référence,Mille mètres cubes par jour
2012,Canada,14.20086233,C5+,Référence,Mille mètres cubes par jour
2013,Canada,14.40264758,C5+,Référence,Mille mètres cubes par jour
2014,Canada,15.34068442,C5+,Référence,Mille mètres cubes par jour
2015,Canada,15.55575783,C5+,Référence,Mille mètres cubes par jour
2016,Canada,15.45139602,C5+,Référence,Mille mètres cubes par jour
2017,Canada,16.54324273,C5+,Référence,Mille mètres cubes par jour
2018,Canada,17.95251793,C5+,Référence,Mille mètres cubes par jour
2019,Canada,18.37203422,C5+,Référence,Mille mètres cubes par jour
2020,Canada,18.42872718,C5+,Référence,Mille mètres cubes par jour
2021,Canada,18.3634516,C5+,Référence,Mille mètres cubes par jour
2022,Canada,18.49643812,C5+,Référence,Mille mètres cubes par jour
2023,Canada,18.63516424,C5+,Référence,Mille mètres cubes par jour
2024,Canada,18.8192887,C5+,Référence,Mille mètres cubes par jour
2025,Canada,19.22663658,C5+,Référence,Mille mètres cubes par jour
2026,Canada,19.81997735,C5+,Référence,Mille mètres cubes par jour
2027,Canada,20.078474,C5+,Référence,Mille mètres cubes par jour
2028,Canada,20.05450651,C5+,Référence,Mille mètres cubes par jour
2029,Canada,20.058002,C5+,Référence,Mille mètres cubes par jour
2030,Canada,20.46530584,C5+,Référence,Mille mètres cubes par jour
2031,Canada,21.21581,C5+,Référence,Mille mètres cubes par jour
2032,Canada,21.7401684,C5+,Référence,Mille mètres cubes par jour
2033,Canada,22.0916208,C5+,Référence,Mille mètres cubes par jour
2034,Canada,22.48130392,C5+,Référence,Mille mètres cubes par jour
2035,Canada,22.88810838,C5+,Référence,Mille mètres cubes par jour
2036,Canada,23.30399896,C5+,Référence,Mille mètres cubes par jour
2037,Canada,23.70885233,C5+,Référence,Mille mètres cubes par jour
2038,Canada,24.13199067,C5+,Référence,Mille mètres cubes par jour
2039,Canada,24.60970331,C5+,Référence,Mille mètres cubes par jour
2040,Canada,25.12015827,C5+,Référence,Mille mètres cubes par jour
2005,Canada,7.152283686,Condensat de puits,Référence,Mille mètres cubes par jour
2006,Canada,7.466698063,Condensat de puits,Référence,Mille mètres cubes par jour
2007,Canada,7.49657349,Condensat de puits,Référence,Mille mètres cubes par jour
2008,Canada,7.20451177,Condensat de puits,Référence,Mille mètres cubes par jour
2009,Canada,6.835235701,Condensat de puits,Référence,Mille mètres cubes par jour
2010,Canada,6.482360565,Condensat de puits,Référence,Mille mètres cubes par jour
2011,Canada,7.227444053,Condensat de puits,Référence,Mille mètres cubes par jour
2012,Canada,8.027524747,Condensat de puits,Référence,Mille mètres cubes par jour
2013,Canada,9.835759013,Condensat de puits,Référence,Mille mètres cubes par jour
2014,Canada,14.3940486,Condensat de puits,Référence,Mille mètres cubes par jour
2015,Canada,20.29351402,Condensat de puits,Référence,Mille mètres cubes par jour
2016,Canada,27.60553185,Condensat de puits,Référence,Mille mètres cubes par jour
2017,Canada,35.93860983,Condensat de puits,Référence,Mille mètres cubes par jour
2018,Canada,43.27967591,Condensat de puits,Référence,Mille mètres cubes par jour
2019,Canada,48.64543099,Condensat de puits,Référence,Mille mètres cubes par jour
2020,Canada,52.38251237,Condensat de puits,Référence,Mille mètres cubes par jour
2021,Canada,55.5978666,Condensat de puits,Référence,Mille mètres cubes par jour
2022,Canada,58.73467188,Condensat de puits,Référence,Mille mètres cubes par jour
2023,Canada,61.56510545,Condensat de puits,Référence,Mille mètres cubes par jour
2024,Canada,64.23112072,Condensat de puits,Référence,Mille mètres cubes par jour
2025,Canada,67.44830775,Condensat de puits,Référence,Mille mètres cubes par jour
2026,Canada,71.11964741,Condensat de puits,Référence,Mille mètres cubes par jour
2027,Canada,73.60309422,Condensat de puits,Référence,Mille mètres cubes par jour
2028,Canada,75.10461702,Condensat de puits,Référence,Mille mètres cubes par jour
2029,Canada,76.55442508,Condensat de puits,Référence,Mille mètres cubes par jour
2030,Canada,79.2212127,Condensat de puits,Référence,Mille mètres cubes par jour
2031,Canada,83.05707735,Condensat de puits,Référence,Mille mètres cubes par jour
2032,Canada,86.3276838,Condensat de puits,Référence,Mille mètres cubes par jour
2033,Canada,89.13854428,Condensat de puits,Référence,Mille mètres cubes par jour
2034,Canada,92.04181773,Condensat de puits,Référence,Mille mètres cubes par jour
2035,Canada,94.94109598,Condensat de puits,Référence,Mille mètres cubes par jour
2036,Canada,97.82843699,Condensat de puits,Référence,Mille mètres cubes par jour
2037,Canada,100.6337307,Condensat de puits,Référence,Mille mètres cubes par jour
2038,Canada,103.4831106,Condensat de puits,Référence,Mille mètres cubes par jour
2039,Canada,106.5048039,Condensat de puits,Référence,Mille mètres cubes par jour
2040,Canada,109.6206028,Condensat de puits,Référence,Mille mètres cubes par jour
2005,Canada,99.6,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2006,Canada,120.9,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2007,Canada,124.7,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2008,Canada,114.7,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2009,Canada,131.2,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2010,Canada,136.2429921,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2011,Canada,141.8990589,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2012,Canada,148.2161964,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2013,Canada,155.178086,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2014,Canada,152.653423,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2015,Canada,184.6506499,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2016,Canada,182.8334397,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2017,Canada,202.8157822,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2018,Canada,234.7998298,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2019,Canada,254.1566338,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2020,Canada,259.6178344,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2021,Canada,261.0225863,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2022,Canada,261.8266324,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2023,Canada,261.826617,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2024,Canada,261.8266268,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2025,Canada,261.8266272,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2026,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2027,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2028,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2029,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2030,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2031,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2032,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2033,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2034,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2035,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2036,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2037,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2038,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2039,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2040,Canada,261.826627,Bitume extrait à  ciel ouvert,Référence,Mille mètres cubes par jour
2005,Canada,69.7,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2006,Canada,78.5,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2007,Canada,85.2,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2008,Canada,92.7,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2009,Canada,105.5,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2010,Canada,119.6291471,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2011,Canada,134.7195827,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2012,Canada,157.3852022,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2013,Canada,175.8590717,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2014,Canada,200.7486408,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2015,Canada,216.5169439,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2016,Canada,222.3068333,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2017,Canada,245.9149233,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2018,Canada,261.6403455,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2019,Canada,273.7572635,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2020,Canada,283.6814892,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2021,Canada,288.3258623,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2022,Canada,292.6826126,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2023,Canada,305.0743085,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2024,Canada,321.27404,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2025,Canada,335.6096247,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2026,Canada,347.6116378,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2027,Canada,357.4387974,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2028,Canada,363.3221914,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2029,Canada,374.3473693,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2030,Canada,389.4634155,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2031,Canada,404.7624813,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2032,Canada,415.3662175,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2033,Canada,423.5531193,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2034,Canada,427.446449,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2035,Canada,431.9990609,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2036,Canada,435.1215977,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2037,Canada,438.9196809,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2038,Canada,442.581978,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2039,Canada,445.4843228,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2040,Canada,448.4094473,Bitume récupéré in situ,Référence,Mille mètres cubes par jour
2005,Canada,411.639631,Totale,Référence,Mille mètres cubes par jour
2006,Canada,440.4298167,Totale,Référence,Mille mètres cubes par jour
2007,Canada,457.7668065,Totale,Référence,Mille mètres cubes par jour
2008,Canada,448.1774828,Totale,Référence,Mille mètres cubes par jour
2009,Canada,454.5911699,Totale,Référence,Mille mètres cubes par jour
2010,Canada,473.6344341,Totale,Référence,Mille mètres cubes par jour
2011,Canada,498.7635277,Totale,Référence,Mille mètres cubes par jour
2012,Canada,536.3753439,Totale,Référence,Mille mètres cubes par jour
2013,Canada,575.2796966,Totale,Référence,Mille mètres cubes par jour
2014,Canada,612.7955617,Totale,Référence,Mille mètres cubes par jour
2015,Canada,638.4014526,Totale,Référence,Mille mètres cubes par jour
2016,Canada,637.0486336,Totale,Référence,Mille mètres cubes par jour
2017,Canada,693.5410325,Totale,Référence,Mille mètres cubes par jour
2018,Canada,756.8132815,Totale,Référence,Mille mètres cubes par jour
2019,Canada,801.0924501,Totale,Référence,Mille mètres cubes par jour
2020,Canada,820.479115,Totale,Référence,Mille mètres cubes par jour
2021,Canada,833.3281214,Totale,Référence,Mille mètres cubes par jour
2022,Canada,843.5004322,Totale,Référence,Mille mètres cubes par jour
2023,Canada,863.2064536,Totale,Référence,Mille mètres cubes par jour
2024,Canada,884.5921584,Totale,Référence,Mille mètres cubes par jour
2025,Canada,904.306695,Totale,Référence,Mille mètres cubes par jour
2026,Canada,920.4933914,Totale,Référence,Mille mètres cubes par jour
2027,Canada,933.6963067,Totale,Référence,Mille mètres cubes par jour
2028,Canada,942.8510894,Totale,Référence,Mille mètres cubes par jour
2029,Canada,958.3282137,Totale,Référence,Mille mètres cubes par jour
2030,Canada,978.9540853,Totale,Référence,Mille mètres cubes par jour
2031,Canada,999.9976338,Totale,Référence,Mille mètres cubes par jour
2032,Canada,1014.81581,Totale,Référence,Mille mètres cubes par jour
2033,Canada,1028.208611,Totale,Référence,Mille mètres cubes par jour
2034,Canada,1038.564534,Totale,Référence,Mille mètres cubes par jour
2035,Canada,1050.327035,Totale,Référence,Mille mètres cubes par jour
2036,Canada,1059.555819,Totale,Référence,Mille mètres cubes par jour
2037,Canada,1068.869895,Totale,Référence,Mille mètres cubes par jour
2038,Canada,1077.367735,Totale,Référence,Mille mètres cubes par jour
2039,Canada,1085.333675,Totale,Référence,Mille mètres cubes par jour
2040,Canada,1093.370861,Totale,Référence,Mille mètres cubes par jour
2005,Colombie-Britannique,4.645081422,Léger classique,Référence,Mille mètres cubes par jour
2006,Colombie-Britannique,4.506633312,Léger classique,Référence,Mille mètres cubes par jour
2007,Colombie-Britannique,4.045027321,Léger classique,Référence,Mille mètres cubes par jour
2008,Colombie-Britannique,3.676583333,Léger classique,Référence,Mille mètres cubes par jour
2009,Colombie-Britannique,3.498221682,Léger classique,Référence,Mille mètres cubes par jour
2010,Colombie-Britannique,3.464912858,Léger classique,Référence,Mille mètres cubes par jour
2011,Colombie-Britannique,3.237543021,Léger classique,Référence,Mille mètres cubes par jour
2012,Colombie-Britannique,3.325756397,Léger classique,Référence,Mille mètres cubes par jour
2013,Colombie-Britannique,3.123667602,Léger classique,Référence,Mille mètres cubes par jour
2014,Colombie-Britannique,3.412923982,Léger classique,Référence,Mille mètres cubes par jour
2015,Colombie-Britannique,3.37654703,Léger classique,Référence,Mille mètres cubes par jour
2016,Colombie-Britannique,3.694261686,Léger classique,Référence,Mille mètres cubes par jour
2017,Colombie-Britannique,3.350181042,Léger classique,Référence,Mille mètres cubes par jour
2018,Colombie-Britannique,3.193912069,Léger classique,Référence,Mille mètres cubes par jour
2019,Colombie-Britannique,3.031524493,Léger classique,Référence,Mille mètres cubes par jour
2020,Colombie-Britannique,2.844445883,Léger classique,Référence,Mille mètres cubes par jour
2021,Colombie-Britannique,2.71587866,Léger classique,Référence,Mille mètres cubes par jour
2022,Colombie-Britannique,2.636128451,Léger classique,Référence,Mille mètres cubes par jour
2023,Colombie-Britannique,2.566842063,Léger classique,Référence,Mille mètres cubes par jour
2024,Colombie-Britannique,2.512831497,Léger classique,Référence,Mille mètres cubes par jour
2025,Colombie-Britannique,2.495904605,Léger classique,Référence,Mille mètres cubes par jour
2026,Colombie-Britannique,2.486182479,Léger classique,Référence,Mille mètres cubes par jour
2027,Colombie-Britannique,2.490508313,Léger classique,Référence,Mille mètres cubes par jour
2028,Colombie-Britannique,2.50703517,Léger classique,Référence,Mille mètres cubes par jour
2029,Colombie-Britannique,2.530204836,Léger classique,Référence,Mille mètres cubes par jour
2030,Colombie-Britannique,2.557132906,Léger classique,Référence,Mille mètres cubes par jour
2031,Colombie-Britannique,2.587769053,Léger classique,Référence,Mille mètres cubes par jour
2032,Colombie-Britannique,2.624007422,Léger classique,Référence,Mille mètres cubes par jour
2033,Colombie-Britannique,2.665679437,Léger classique,Référence,Mille mètres cubes par jour
2034,Colombie-Britannique,2.712625301,Léger classique,Référence,Mille mètres cubes par jour
2035,Colombie-Britannique,2.759836527,Léger classique,Référence,Mille mètres cubes par jour
2036,Colombie-Britannique,2.807549558,Léger classique,Référence,Mille mètres cubes par jour
2037,Colombie-Britannique,2.863371467,Léger classique,Référence,Mille mètres cubes par jour
2038,Colombie-Britannique,2.923505554,Léger classique,Référence,Mille mètres cubes par jour
2039,Colombie-Britannique,2.987278855,Léger classique,Référence,Mille mètres cubes par jour
2040,Colombie-Britannique,3.055683844,Léger classique,Référence,Mille mètres cubes par jour
2005,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2006,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2007,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2008,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2009,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2010,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2011,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2012,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2013,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2014,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2015,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2016,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2017,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2018,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2019,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2020,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2021,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2022,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2023,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2024,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2025,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2026,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2027,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2028,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2029,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2030,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2031,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2032,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2033,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2034,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2035,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2036,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2037,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2038,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2039,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2040,Colombie-Britannique,0,Lourd classique,Référence,Mille mètres cubes par jour
2005,Colombie-Britannique,1.20715775,C5+,Référence,Mille mètres cubes par jour
2006,Colombie-Britannique,1.248917833,C5+,Référence,Mille mètres cubes par jour
2007,Colombie-Britannique,1.187734456,C5+,Référence,Mille mètres cubes par jour
2008,Colombie-Britannique,1.147916702,C5+,Référence,Mille mètres cubes par jour
2009,Colombie-Britannique,1.205215421,C5+,Référence,Mille mètres cubes par jour
2010,Colombie-Britannique,1.190629498,C5+,Référence,Mille mètres cubes par jour
2011,Colombie-Britannique,1.373077282,C5+,Référence,Mille mètres cubes par jour
2012,Colombie-Britannique,1.428292299,C5+,Référence,Mille mètres cubes par jour
2013,Colombie-Britannique,1.690884786,C5+,Référence,Mille mètres cubes par jour
2014,Colombie-Britannique,2.097916758,C5+,Référence,Mille mètres cubes par jour
2015,Colombie-Britannique,2.586327016,C5+,Référence,Mille mètres cubes par jour
2016,Colombie-Britannique,2.993427829,C5+,Référence,Mille mètres cubes par jour
2017,Colombie-Britannique,3.576342205,C5+,Référence,Mille mètres cubes par jour
2018,Colombie-Britannique,4.404619136,C5+,Référence,Mille mètres cubes par jour
2019,Colombie-Britannique,4.867691906,C5+,Référence,Mille mètres cubes par jour
2020,Colombie-Britannique,5.106415788,C5+,Référence,Mille mètres cubes par jour
2021,Colombie-Britannique,5.347856128,C5+,Référence,Mille mètres cubes par jour
2022,Colombie-Britannique,5.63238139,C5+,Référence,Mille mètres cubes par jour
2023,Colombie-Britannique,5.956405616,C5+,Référence,Mille mètres cubes par jour
2024,Colombie-Britannique,6.350475512,C5+,Référence,Mille mètres cubes par jour
2025,Colombie-Britannique,6.922049165,C5+,Référence,Mille mètres cubes par jour
2026,Colombie-Britannique,7.633301268,C5+,Référence,Mille mètres cubes par jour
2027,Colombie-Britannique,8.033370551,C5+,Référence,Mille mètres cubes par jour
2028,Colombie-Britannique,8.164790566,C5+,Référence,Mille mètres cubes par jour
2029,Colombie-Britannique,8.321867633,C5+,Référence,Mille mètres cubes par jour
2030,Colombie-Britannique,8.811469183,C5+,Référence,Mille mètres cubes par jour
2031,Colombie-Britannique,9.531460182,C5+,Référence,Mille mètres cubes par jour
2032,Colombie-Britannique,9.959613935,C5+,Référence,Mille mètres cubes par jour
2033,Colombie-Britannique,10.1722612,C5+,Référence,Mille mètres cubes par jour
2034,Colombie-Britannique,10.40196589,C5+,Référence,Mille mètres cubes par jour
2035,Colombie-Britannique,10.6418941,C5+,Référence,Mille mètres cubes par jour
2036,Colombie-Britannique,10.8805846,C5+,Référence,Mille mètres cubes par jour
2037,Colombie-Britannique,11.10399896,C5+,Référence,Mille mètres cubes par jour
2038,Colombie-Britannique,11.32720902,C5+,Référence,Mille mètres cubes par jour
2039,Colombie-Britannique,11.58022824,C5+,Référence,Mille mètres cubes par jour
2040,Colombie-Britannique,11.84885462,C5+,Référence,Mille mètres cubes par jour
