Case,Region,Variable_French,Type,Year,Value,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2005,6967.5946,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2006,7113.5442,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2007,6974.6668,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2008,6318.3765,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2009,6056.4497,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2010,8265.163,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2011,8716.119,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2012,9060.5727,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2013,9324.5646,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2014,12634.6041,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2015,6680.7065,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2016,8085.291,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2017,8974.3489,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2018,9085.7757,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2019,9520.3318,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2020,9396.6027,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2021,9680.2049,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2022,9829.4652,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2023,10575.5006,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2024,10588.5056,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2025,10782.3489,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2026,10930.8038,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2027,11149.1303,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2028,11678.0558,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2029,11738.1426,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2030,11799.2202,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2031,11811.4635,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2032,11817.5482,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2033,12262.0622,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2034,12266.7404,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2035,12267.8215,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2036,12265.7645,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2037,12258.1412,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2038,12246.1387,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2039,12232.8298,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2040,12224.7334,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2005,1695.329,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2006,1825.335,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2007,1874.011,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2008,1915.95,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2009,1860.559,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2010,1907.417,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2011,1971.415,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2012,2088.77,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2013,2249.49,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2014,3497.128,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2015,795.5522,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2016,853.5,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2017,1143.589,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2018,1143.589,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2019,1143.589,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2020,1143.589,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2021,1143.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2022,1143.589,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2023,1581.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2024,1581.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2025,1581.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2026,1581.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2027,1581.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2028,2019.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2029,2019.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2030,2019.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2031,2019.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2032,2019.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2033,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2034,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2035,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2036,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2037,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2038,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2039,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2040,2457.59,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2005,2863.407,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2006,2948.704,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2007,2948.704,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2008,2467.383,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2009,2162.837,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2010,3810.735,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2011,4110.999,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2012,4034.091,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2013,3821.901,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2014,5856.074,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2015,3151.39,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2016,3830.173,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2017,4233.141,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2018,4233.141,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2019,4530.982,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2020,4415.551,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2021,4700.456,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2022,4718.499,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2023,5015.585,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2024,5016.345,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2025,5211.47,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2026,5234.558,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2027,5452.707,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2028,5543.816,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2029,5614.963,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2030,5634.485,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2031,5646.903,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2032,5652.827,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2033,5659.442,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2034,5664.907,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2035,5666.169,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2036,5664.285,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2037,5656.75,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2038,5644.859,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2039,5631.729,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2040,5623.753,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2005,27.33,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2006,32,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2007,27,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2008,38,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2009,0,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2010,0,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2011,0,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2012,39,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2013,42,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2014,64.4,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2015,61.3,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2016,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2017,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2018,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2019,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2020,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2021,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2022,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2023,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2024,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2025,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2026,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2027,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2028,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2029,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2030,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2031,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2032,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2033,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2034,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2035,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2036,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2037,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2038,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2039,71.6,,
Prix élevés,Manitoba,Biomasse / géothermique,Combustible Principal,2040,71.6,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2005,610,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2006,610,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2007,562,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2008,647,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2009,576,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2010,585,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2011,569,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2012,578.9999,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2013,558,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2014,474.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2015,308.3,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2016,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2017,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2018,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2019,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2020,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2021,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2022,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2023,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2024,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2025,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2026,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2027,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2028,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2029,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2030,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2031,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2032,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2033,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2034,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2035,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2036,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2037,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2038,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2039,334.7,,
Prix élevés,Nouveau-Brunswick,Biomasse / géothermique,Combustible Principal,2040,334.7,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2005,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2006,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2007,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2008,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2009,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2010,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2011,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2012,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2013,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2014,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2015,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2016,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2017,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2018,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2019,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2020,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2021,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2022,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2023,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2024,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2025,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2026,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2027,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2028,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2029,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2030,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2031,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2032,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2033,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2034,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2035,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2036,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2037,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2038,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2039,0,,
Prix élevés,Terre-Neuve-et-Labrador,Biomasse / géothermique,Combustible Principal,2040,0,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2005,318,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2006,318,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2007,318,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2008,322,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2009,245,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2010,378,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2011,363,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2012,387,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2013,331,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2014,253.9,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2015,413.5,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2016,376.4,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2017,335.9303,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2018,335.9291,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2019,342.6873,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2020,334.0407,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2021,333.1165,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2022,338.7292,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2023,333.6322,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2024,329.1069,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2025,329.1056,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2026,328.3063,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2027,328.0549,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2028,327.6028,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2029,320.3608,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2030,320.3313,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2031,320.2299,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2032,320.2263,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2033,320.2266,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2034,320.2281,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2035,320.2292,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2036,320.2289,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2037,320.2292,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2038,320.2296,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2039,320.2275,,
Prix élevés,Nouvelle-écosse,Biomasse / géothermique,Combustible Principal,2040,320.2298,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2005,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2006,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2007,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2008,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2009,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2010,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2011,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2012,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2013,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2014,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2015,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2016,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2017,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2018,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2019,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2020,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2021,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2022,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2023,0,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2024,17.0552,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2025,16.8666,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2026,16.7506,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2027,16.6365,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2028,16.525,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2029,15.7042,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2030,15.5204,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2031,15.3968,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2032,15.2755,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2033,15.1068,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2034,15.0299,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2035,14.8455,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2036,14.6719,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2037,14.5506,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2038,14.4242,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2039,14.2442,,
Prix élevés,Northwest Territories ,Biomasse / géothermique,Combustible Principal,2040,14.1213,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2005,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2006,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2007,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2008,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2009,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2010,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2011,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2012,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2013,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2014,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2015,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2016,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2017,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2018,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2019,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2020,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2021,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2022,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2023,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2024,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2025,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2026,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2027,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2028,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2029,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2030,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2031,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2032,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2033,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2034,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2035,0,,
Prix élevés,Nunavut,Biomasse / géothermique,Combustible Principal,2036,0,,
